iso3,country,index,index_name,rank,year,date
IND,India,WCR,IMD World Competitiveness Ranking,43,2021,2021-01-01
IND,India,WCR,IMD World Competitiveness Ranking,37,2022,2022-01-01
IND,India,WCR,IMD World Competitiveness Ranking,40,2023,2023-01-01
IND,India,WCR,IMD World Competitiveness Ranking,39,2024,2024-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,26,1997,1997-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,23,2002,2002-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,30,2007,2007-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,39,2012,2012-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,34,2017,2017-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,36,2019,2019-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,36,2020,2020-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,39,2021,2021-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,36,2022,2022-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,36,2023,2023-01-01
ESP,Spain,WCR,IMD World Competitiveness Ranking,40,2024,2024-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,43,1997,1997-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,45,2002,2002-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,52,2007,2007-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,34,2012,2012-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,38,2017,2017-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,38,2019,2019-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,39,2020,2020-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,47,2021,2021-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,50,2022,2022-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,43,2023,2023-01-01
POL,Poland,WCR,IMD World Competitiveness Ranking,41,2024,2024-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,39,1997,1997-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,34,2002,2002-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,42,2007,2007-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,40,2012,2012-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,44,2017,2017-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,44,2019,2019-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,44,2020,2020-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,41,2021,2021-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,41,2022,2022-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,41,2023,2023-01-01
ITA,Italy,WCR,IMD World Competitiveness Ranking,42,2024,2024-01-01
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,37,2017,2017-01-01
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,41,2019,2019-01-01
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,30,2020,2020-01-01
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,33,2021,2021-01-01
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,40,2022,2022-01-01
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,45,2023,2023-01-01
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,43,2024,2024-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,24,1997,1997-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,22,2002,2002-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,26,2007,2007-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,28,2012,2012-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,35,2017,2017-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,42,2019,2019-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,38,2020,2020-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,44,2021,2021-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,45,2022,2022-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,44,2023,2023-01-01
CHL,Chile,WCR,IMD World Competitiveness Ranking,44,2024,2024-01-01
LVA,Latvia,WCR,IMD World Competitiveness Ranking,40,2017,2017-01-01
LVA,Latvia,WCR,IMD World Competitiveness Ranking,40,2019,2019-01-01
LVA,Latvia,WCR,IMD World Competitiveness Ranking,41,2020,2020-01-01
LVA,Latvia,WCR,IMD World Competitiveness Ranking,38,2021,2021-01-01
LVA,Latvia,WCR,IMD World Competitiveness Ranking,35,2022,2022-01-01
LVA,Latvia,WCR,IMD World Competitiveness Ranking,51,2023,2023-01-01
LVA,Latvia,WCR,IMD World Competitiveness Ranking,45,2024,2024-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,35,2002,2002-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,40,2007,2007-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,51,2012,2012-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,43,2017,2017-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,37,2019,2019-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,35,2020,2020-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,40,2021,2021-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,38,2022,2022-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,42,2023,2023-01-01
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,46,2024,2024-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,36,1997,1997-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,36,2002,2002-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,36,2007,2007-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,58,2012,2012-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,57,2017,2017-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,58,2019,2019-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,49,2020,2020-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,46,2021,2021-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,47,2022,2022-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,49,2023,2023-01-01
GRC,Greece,WCR,IMD World Competitiveness Ranking,47,2024,2024-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,37,2007,2007-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,49,2012,2012-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,56,2017,2017-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,57,2019,2019-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,58,2020,2020-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,49,2021,2021-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,56,2022,2022-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,54,2023,2023-01-01
JOR,Jordan,WCR,IMD World Competitiveness Ranking,48,2024,2024-01-01
PRI,Puerto Rico,WCR,IMD World Competitiveness Ranking,49,2024,2024-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,44,2007,2007-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,53,2012,2012-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,50,2017,2017-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,49,2019,2019-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,51,2020,2020-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,48,2021,2021-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,51,2022,2022-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,48,2023,2023-01-01
ROU,Romania,WCR,IMD World Competitiveness Ranking,50,2024,2024-01-01
USA,USA,WDCR,IMD World Digital Competitiveness Ranking,1,2023,2023-01-01
USA,USA,WDCR,IMD World Digital Competitiveness Ranking,2,2022,2022-01-01
USA,USA,WDCR,IMD World Digital Competitiveness Ranking,1,2021,2021-01-01
USA,USA,WDCR,IMD World Digital Competitiveness Ranking,1,2020,2020-01-01
USA,USA,WDCR,IMD World Digital Competitiveness Ranking,1,2019,2019-01-01
NLD,Netherlands,WDCR,IMD World Digital Competitiveness Ranking,2,2023,2023-01-01
NLD,Netherlands,WDCR,IMD World Digital Competitiveness Ranking,6,2022,2022-01-01
NLD,Netherlands,WDCR,IMD World Digital Competitiveness Ranking,7,2021,2021-01-01
NLD,Netherlands,WDCR,IMD World Digital Competitiveness Ranking,7,2020,2020-01-01
NLD,Netherlands,WDCR,IMD World Digital Competitiveness Ranking,6,2019,2019-01-01
SGP,Singapore,WDCR,IMD World Digital Competitiveness Ranking,3,2023,2023-01-01
SGP,Singapore,WDCR,IMD World Digital Competitiveness Ranking,4,2022,2022-01-01
SGP,Singapore,WDCR,IMD World Digital Competitiveness Ranking,5,2021,2021-01-01
SGP,Singapore,WDCR,IMD World Digital Competitiveness Ranking,2,2020,2020-01-01
SGP,Singapore,WDCR,IMD World Digital Competitiveness Ranking,2,2019,2019-01-01
DNK,Denmark,WDCR,IMD World Digital Competitiveness Ranking,4,2023,2023-01-01
DNK,Denmark,WDCR,IMD World Digital Competitiveness Ranking,1,2022,2022-01-01
DNK,Denmark,WDCR,IMD World Digital Competitiveness Ranking,4,2021,2021-01-01
DNK,Denmark,WDCR,IMD World Digital Competitiveness Ranking,3,2020,2020-01-01
DNK,Denmark,WDCR,IMD World Digital Competitiveness Ranking,4,2019,2019-01-01
CHE,Switzerland,WDCR,IMD World Digital Competitiveness Ranking,5,2023,2023-01-01
CHE,Switzerland,WDCR,IMD World Digital Competitiveness Ranking,5,2022,2022-01-01
CHE,Switzerland,WDCR,IMD World Digital Competitiveness Ranking,6,2021,2021-01-01
CHE,Switzerland,WDCR,IMD World Digital Competitiveness Ranking,6,2020,2020-01-01
CHE,Switzerland,WDCR,IMD World Digital Competitiveness Ranking,5,2019,2019-01-01
KOR,Korea Rep.,WDCR,IMD World Digital Competitiveness Ranking,6,2023,2023-01-01
KOR,Korea Rep.,WDCR,IMD World Digital Competitiveness Ranking,8,2022,2022-01-01
KOR,Korea Rep.,WDCR,IMD World Digital Competitiveness Ranking,12,2021,2021-01-01
KOR,Korea Rep.,WDCR,IMD World Digital Competitiveness Ranking,8,2020,2020-01-01
KOR,Korea Rep.,WDCR,IMD World Digital Competitiveness Ranking,10,2019,2019-01-01
SWE,Sweden,WDCR,IMD World Digital Competitiveness Ranking,7,2023,2023-01-01
SWE,Sweden,WDCR,IMD World Digital Competitiveness Ranking,3,2022,2022-01-01
SWE,Sweden,WDCR,IMD World Digital Competitiveness Ranking,3,2021,2021-01-01
SWE,Sweden,WDCR,IMD World Digital Competitiveness Ranking,4,2020,2020-01-01
SWE,Sweden,WDCR,IMD World Digital Competitiveness Ranking,3,2019,2019-01-01
FIN,Finland,WDCR,IMD World Digital Competitiveness Ranking,8,2023,2023-01-01
FIN,Finland,WDCR,IMD World Digital Competitiveness Ranking,7,2022,2022-01-01
FIN,Finland,WDCR,IMD World Digital Competitiveness Ranking,11,2021,2021-01-01
FIN,Finland,WDCR,IMD World Digital Competitiveness Ranking,10,2020,2020-01-01
FIN,Finland,WDCR,IMD World Digital Competitiveness Ranking,7,2019,2019-01-01
TWN,"Taiwan, China",WDCR,IMD World Digital Competitiveness Ranking,9,2023,2023-01-01
TWN,"Taiwan, China",WDCR,IMD World Digital Competitiveness Ranking,11,2022,2022-01-01
TWN,"Taiwan, China",WDCR,IMD World Digital Competitiveness Ranking,8,2021,2021-01-01
TWN,"Taiwan, China",WDCR,IMD World Digital Competitiveness Ranking,11,2020,2020-01-01
TWN,"Taiwan, China",WDCR,IMD World Digital Competitiveness Ranking,13,2019,2019-01-01
HKG,Hong Kong SAR,WDCR,IMD World Digital Competitiveness Ranking,10,2023,2023-01-01
HKG,Hong Kong SAR,WDCR,IMD World Digital Competitiveness Ranking,9,2022,2022-01-01
HKG,Hong Kong SAR,WDCR,IMD World Digital Competitiveness Ranking,2,2021,2021-01-01
HKG,Hong Kong SAR,WDCR,IMD World Digital Competitiveness Ranking,5,2020,2020-01-01
HKG,Hong Kong SAR,WDCR,IMD World Digital Competitiveness Ranking,8,2019,2019-01-01
CAN,Canada,WDCR,IMD World Digital Competitiveness Ranking,11,2023,2023-01-01
CAN,Canada,WDCR,IMD World Digital Competitiveness Ranking,10,2022,2022-01-01
CAN,Canada,WDCR,IMD World Digital Competitiveness Ranking,13,2021,2021-01-01
CAN,Canada,WDCR,IMD World Digital Competitiveness Ranking,12,2020,2020-01-01
CAN,Canada,WDCR,IMD World Digital Competitiveness Ranking,11,2019,2019-01-01
ARE,UAE,WDCR,IMD World Digital Competitiveness Ranking,12,2023,2023-01-01
ARE,UAE,WDCR,IMD World Digital Competitiveness Ranking,13,2022,2022-01-01
ARE,UAE,WDCR,IMD World Digital Competitiveness Ranking,10,2021,2021-01-01
ARE,UAE,WDCR,IMD World Digital Competitiveness Ranking,14,2020,2020-01-01
ARE,UAE,WDCR,IMD World Digital Competitiveness Ranking,12,2019,2019-01-01
ISR,Israel,WDCR,IMD World Digital Competitiveness Ranking,13,2023,2023-01-01
ISR,Israel,WDCR,IMD World Digital Competitiveness Ranking,15,2022,2022-01-01
ISR,Israel,WDCR,IMD World Digital Competitiveness Ranking,17,2021,2021-01-01
ISR,Israel,WDCR,IMD World Digital Competitiveness Ranking,19,2020,2020-01-01
ISR,Israel,WDCR,IMD World Digital Competitiveness Ranking,16,2019,2019-01-01
NOR,Norway,WDCR,IMD World Digital Competitiveness Ranking,14,2023,2023-01-01
NOR,Norway,WDCR,IMD World Digital Competitiveness Ranking,12,2022,2022-01-01
NOR,Norway,WDCR,IMD World Digital Competitiveness Ranking,9,2021,2021-01-01
NOR,Norway,WDCR,IMD World Digital Competitiveness Ranking,9,2020,2020-01-01
NOR,Norway,WDCR,IMD World Digital Competitiveness Ranking,9,2019,2019-01-01
BEL,Belgium,WDCR,IMD World Digital Competitiveness Ranking,15,2023,2023-01-01
BEL,Belgium,WDCR,IMD World Digital Competitiveness Ranking,23,2022,2022-01-01
BEL,Belgium,WDCR,IMD World Digital Competitiveness Ranking,26,2021,2021-01-01
BEL,Belgium,WDCR,IMD World Digital Competitiveness Ranking,25,2020,2020-01-01
BEL,Belgium,WDCR,IMD World Digital Competitiveness Ranking,25,2019,2019-01-01
AUS,Australia,WDCR,IMD World Digital Competitiveness Ranking,16,2023,2023-01-01
AUS,Australia,WDCR,IMD World Digital Competitiveness Ranking,14,2022,2022-01-01
AUS,Australia,WDCR,IMD World Digital Competitiveness Ranking,20,2021,2021-01-01
AUS,Australia,WDCR,IMD World Digital Competitiveness Ranking,15,2020,2020-01-01
AUS,Australia,WDCR,IMD World Digital Competitiveness Ranking,14,2019,2019-01-01
ISL,Iceland,WDCR,IMD World Digital Competitiveness Ranking,17,2023,2023-01-01
ISL,Iceland,WDCR,IMD World Digital Competitiveness Ranking,21,2022,2022-01-01
ISL,Iceland,WDCR,IMD World Digital Competitiveness Ranking,21,2021,2021-01-01
ISL,Iceland,WDCR,IMD World Digital Competitiveness Ranking,23,2020,2020-01-01
ISL,Iceland,WDCR,IMD World Digital Competitiveness Ranking,27,2019,2019-01-01
EST,Estonia,WDCR,IMD World Digital Competitiveness Ranking,18,2023,2023-01-01
EST,Estonia,WDCR,IMD World Digital Competitiveness Ranking,20,2022,2022-01-01
EST,Estonia,WDCR,IMD World Digital Competitiveness Ranking,25,2021,2021-01-01
EST,Estonia,WDCR,IMD World Digital Competitiveness Ranking,21,2020,2020-01-01
EST,Estonia,WDCR,IMD World Digital Competitiveness Ranking,29,2019,2019-01-01
CHN,China,WDCR,IMD World Digital Competitiveness Ranking,19,2023,2023-01-01
CHN,China,WDCR,IMD World Digital Competitiveness Ranking,17,2022,2022-01-01
CHN,China,WDCR,IMD World Digital Competitiveness Ranking,15,2021,2021-01-01
CHN,China,WDCR,IMD World Digital Competitiveness Ranking,16,2020,2020-01-01
CHN,China,WDCR,IMD World Digital Competitiveness Ranking,22,2019,2019-01-01
GBR,United Kingdom,WDCR,IMD World Digital Competitiveness Ranking,20,2023,2023-01-01
GBR,United Kingdom,WDCR,IMD World Digital Competitiveness Ranking,16,2022,2022-01-01
GBR,United Kingdom,WDCR,IMD World Digital Competitiveness Ranking,14,2021,2021-01-01
GBR,United Kingdom,WDCR,IMD World Digital Competitiveness Ranking,13,2020,2020-01-01
GBR,United Kingdom,WDCR,IMD World Digital Competitiveness Ranking,15,2019,2019-01-01
IRL,Ireland,WDCR,IMD World Digital Competitiveness Ranking,21,2023,2023-01-01
IRL,Ireland,WDCR,IMD World Digital Competitiveness Ranking,24,2022,2022-01-01
IRL,Ireland,WDCR,IMD World Digital Competitiveness Ranking,19,2021,2021-01-01
IRL,Ireland,WDCR,IMD World Digital Competitiveness Ranking,20,2020,2020-01-01
IRL,Ireland,WDCR,IMD World Digital Competitiveness Ranking,19,2019,2019-01-01
AUT,Austria,WDCR,IMD World Digital Competitiveness Ranking,22,2023,2023-01-01
AUT,Austria,WDCR,IMD World Digital Competitiveness Ranking,18,2022,2022-01-01
AUT,Austria,WDCR,IMD World Digital Competitiveness Ranking,16,2021,2021-01-01
AUT,Austria,WDCR,IMD World Digital Competitiveness Ranking,17,2020,2020-01-01
AUT,Austria,WDCR,IMD World Digital Competitiveness Ranking,20,2019,2019-01-01
DEU,Germany,WDCR,IMD World Digital Competitiveness Ranking,23,2023,2023-01-01
DEU,Germany,WDCR,IMD World Digital Competitiveness Ranking,19,2022,2022-01-01
DEU,Germany,WDCR,IMD World Digital Competitiveness Ranking,18,2021,2021-01-01
DEU,Germany,WDCR,IMD World Digital Competitiveness Ranking,18,2020,2020-01-01
DEU,Germany,WDCR,IMD World Digital Competitiveness Ranking,17,2019,2019-01-01
CZE,Czech Republic,WDCR,IMD World Digital Competitiveness Ranking,24,2023,2023-01-01
NZL,New Zealand,WDCR,IMD World Digital Competitiveness Ranking,25,2023,2023-01-01
NZL,New Zealand,WDCR,IMD World Digital Competitiveness Ranking,27,2022,2022-01-01
NZL,New Zealand,WDCR,IMD World Digital Competitiveness Ranking,23,2021,2021-01-01
NZL,New Zealand,WDCR,IMD World Digital Competitiveness Ranking,22,2020,2020-01-01
NZL,New Zealand,WDCR,IMD World Digital Competitiveness Ranking,18,2019,2019-01-01
LUX,Luxembourg,WDCR,IMD World Digital Competitiveness Ranking,26,2023,2023-01-01
LUX,Luxembourg,WDCR,IMD World Digital Competitiveness Ranking,30,2022,2022-01-01
LUX,Luxembourg,WDCR,IMD World Digital Competitiveness Ranking,22,2021,2021-01-01
LUX,Luxembourg,WDCR,IMD World Digital Competitiveness Ranking,28,2020,2020-01-01
LUX,Luxembourg,WDCR,IMD World Digital Competitiveness Ranking,21,2019,2019-01-01
FRA,France,WDCR,IMD World Digital Competitiveness Ranking,27,2023,2023-01-01
FRA,France,WDCR,IMD World Digital Competitiveness Ranking,22,2022,2022-01-01
FRA,France,WDCR,IMD World Digital Competitiveness Ranking,24,2021,2021-01-01
FRA,France,WDCR,IMD World Digital Competitiveness Ranking,24,2020,2020-01-01
FRA,France,WDCR,IMD World Digital Competitiveness Ranking,24,2019,2019-01-01
LTU,Lithuania,WDCR,IMD World Digital Competitiveness Ranking,28,2023,2023-01-01
LTU,Lithuania,WDCR,IMD World Digital Competitiveness Ranking,25,2022,2022-01-01
LTU,Lithuania,WDCR,IMD World Digital Competitiveness Ranking,30,2021,2021-01-01
LTU,Lithuania,WDCR,IMD World Digital Competitiveness Ranking,29,2020,2020-01-01
LTU,Lithuania,WDCR,IMD World Digital Competitiveness Ranking,30,2019,2019-01-01
QAT,Qatar,WDCR,IMD World Digital Competitiveness Ranking,29,2023,2023-01-01
QAT,Qatar,WDCR,IMD World Digital Competitiveness Ranking,26,2022,2022-01-01
QAT,Qatar,WDCR,IMD World Digital Competitiveness Ranking,29,2021,2021-01-01
QAT,Qatar,WDCR,IMD World Digital Competitiveness Ranking,30,2020,2020-01-01
SAU,Saudi Arabia,WDCR,IMD World Digital Competitiveness Ranking,30,2023,2023-01-01
ESP,Spain,WDCR,IMD World Digital Competitiveness Ranking,28,2022,2022-01-01
ESP,Spain,WDCR,IMD World Digital Competitiveness Ranking,28,2019,2019-01-01
JPN,Japan,WDCR,IMD World Digital Competitiveness Ranking,29,2022,2022-01-01
JPN,Japan,WDCR,IMD World Digital Competitiveness Ranking,28,2021,2021-01-01
JPN,Japan,WDCR,IMD World Digital Competitiveness Ranking,27,2020,2020-01-01
JPN,Japan,WDCR,IMD World Digital Competitiveness Ranking,23,2019,2019-01-01
MYS,Malaysia,WDCR,IMD World Digital Competitiveness Ranking,27,2021,2021-01-01
MYS,Malaysia,WDCR,IMD World Digital Competitiveness Ranking,26,2020,2020-01-01
MYS,Malaysia,WDCR,IMD World Digital Competitiveness Ranking,26,2019,2019-01-01
ARE,United Arab Emirates,NECI,National Entrepreneurship Context Index (NECI),1,2023,2023-01-01
ARE,United Arab Emirates,NECI,National Entrepreneurship Context Index (NECI),1,2022,2022-01-01
ARE,United Arab Emirates,NECI,National Entrepreneurship Context Index (NECI),1,2021,2021-01-01
ARE,United Arab Emirates,NECI,National Entrepreneurship Context Index (NECI),5,2020,2020-01-01
ARE,United Arab Emirates,NECI,National Entrepreneurship Context Index (NECI),5,2019,2019-01-01
IND,India,NECI,National Entrepreneurship Context Index (NECI),2,2023,2023-01-01
IND,India,NECI,National Entrepreneurship Context Index (NECI),4,2022,2022-01-01
IND,India,NECI,National Entrepreneurship Context Index (NECI),16,2021,2021-01-01
IND,India,NECI,National Entrepreneurship Context Index (NECI),4,2020,2020-01-01
IND,India,NECI,National Entrepreneurship Context Index (NECI),6,2019,2019-01-01
SAU,Saudi Arabia,NECI,National Entrepreneurship Context Index (NECI),3,2023,2023-01-01
SAU,Saudi Arabia,NECI,National Entrepreneurship Context Index (NECI),2,2022,2022-01-01
SAU,Saudi Arabia,NECI,National Entrepreneurship Context Index (NECI),4,2021,2021-01-01
SAU,Saudi Arabia,NECI,National Entrepreneurship Context Index (NECI),7,2020,2020-01-01
SAU,Saudi Arabia,NECI,National Entrepreneurship Context Index (NECI),17,2019,2019-01-01
LTU,Lithuania,NECI,National Entrepreneurship Context Index (NECI),4,2023,2023-01-01
LTU,Lithuania,NECI,National Entrepreneurship Context Index (NECI),6,2022,2022-01-01
LTU,Lithuania,NECI,National Entrepreneurship Context Index (NECI),5,2021,2021-01-01
QAT,Qatar,NECI,National Entrepreneurship Context Index (NECI),5,2023,2023-01-01
QAT,Qatar,NECI,National Entrepreneurship Context Index (NECI),10,2022,2022-01-01
QAT,Qatar,NECI,National Entrepreneurship Context Index (NECI),8,2021,2021-01-01
QAT,Qatar,NECI,National Entrepreneurship Context Index (NECI),8,2020,2020-01-01
QAT,Qatar,NECI,National Entrepreneurship Context Index (NECI),3,2019,2019-01-01
EST,Estonia,NECI,National Entrepreneurship Context Index (NECI),6,2023,2023-01-01
NLD,Netherlands,NECI,National Entrepreneurship Context Index (NECI),7,2023,2023-01-01
NLD,Netherlands,NECI,National Entrepreneurship Context Index (NECI),5,2022,2022-01-01
NLD,Netherlands,NECI,National Entrepreneurship Context Index (NECI),2,2021,2021-01-01
NLD,Netherlands,NECI,National Entrepreneurship Context Index (NECI),2,2020,2020-01-01
NLD,Netherlands,NECI,National Entrepreneurship Context Index (NECI),2,2019,2019-01-01
KOR,Republic of Korea,NECI,National Entrepreneurship Context Index (NECI),8,2023,2023-01-01
KOR,Republic of Korea,NECI,National Entrepreneurship Context Index (NECI),9,2022,2022-01-01
KOR,Republic of Korea,NECI,National Entrepreneurship Context Index (NECI),6,2021,2021-01-01
KOR,Republic of Korea,NECI,National Entrepreneurship Context Index (NECI),9,2020,2020-01-01
KOR,Republic of Korea,NECI,National Entrepreneurship Context Index (NECI),15,2019,2019-01-01
CHE,Switzerland,NECI,National Entrepreneurship Context Index (NECI),9,2023,2023-01-01
CHE,Switzerland,NECI,National Entrepreneurship Context Index (NECI),8,2022,2022-01-01
CHE,Switzerland,NECI,National Entrepreneurship Context Index (NECI),9,2021,2021-01-01
CHE,Switzerland,NECI,National Entrepreneurship Context Index (NECI),10,2020,2020-01-01
CHE,Switzerland,NECI,National Entrepreneurship Context Index (NECI),1,2019,2019-01-01
CHN,China (PRC,NECI,National Entrepreneurship Context Index (NECI),10,2023,2023-01-01
OMN,Oman,NECI,National Entrepreneurship Context Index (NECI),11,2023,2023-01-01
OMN,Oman,NECI,National Entrepreneurship Context Index (NECI),38,2022,2022-01-01
OMN,Oman,NECI,National Entrepreneurship Context Index (NECI),38,2021,2021-01-01
OMN,Oman,NECI,National Entrepreneurship Context Index (NECI),13,2020,2020-01-01
OMN,Oman,NECI,National Entrepreneurship Context Index (NECI),29,2019,2019-01-01
FRA,France,NECI,National Entrepreneurship Context Index (NECI),12,2023,2023-01-01
FRA,France,NECI,National Entrepreneurship Context Index (NECI),18,2022,2022-01-01
FRA,France,NECI,National Entrepreneurship Context Index (NECI),13,2021,2021-01-01
LVA,Latvia,NECI,National Entrepreneurship Context Index (NECI),13,2023,2023-01-01
LVA,Latvia,NECI,National Entrepreneurship Context Index (NECI),13,2022,2022-01-01
LVA,Latvia,NECI,National Entrepreneurship Context Index (NECI),17,2021,2021-01-01
LVA,Latvia,NECI,National Entrepreneurship Context Index (NECI),21,2020,2020-01-01
LVA,Latvia,NECI,National Entrepreneurship Context Index (NECI),20,2019,2019-01-01
CAN,Canada,NECI,National Entrepreneurship Context Index (NECI),14,2023,2023-01-01
CAN,Canada,NECI,National Entrepreneurship Context Index (NECI),16,2022,2022-01-01
CAN,Canada,NECI,National Entrepreneurship Context Index (NECI),15,2021,2021-01-01
CAN,Canada,NECI,National Entrepreneurship Context Index (NECI),14,2019,2019-01-01
SVN,Slovenia,NECI,National Entrepreneurship Context Index (NECI),15,2023,2023-01-01
SVN,Slovenia,NECI,National Entrepreneurship Context Index (NECI),23,2022,2022-01-01
SVN,Slovenia,NECI,National Entrepreneurship Context Index (NECI),32,2021,2021-01-01
SVN,Slovenia,NECI,National Entrepreneurship Context Index (NECI),22,2020,2020-01-01
SVN,Slovenia,NECI,National Entrepreneurship Context Index (NECI),30,2019,2019-01-01
USA,United States,NECI,National Entrepreneurship Context Index (NECI),16,2023,2023-01-01
USA,United States,NECI,National Entrepreneurship Context Index (NECI),15,2022,2022-01-01
USA,United States,NECI,National Entrepreneurship Context Index (NECI),11,2021,2021-01-01
USA,United States,NECI,National Entrepreneurship Context Index (NECI),12,2020,2020-01-01
USA,United States,NECI,National Entrepreneurship Context Index (NECI),10,2019,2019-01-01
DEU,Germany,NECI,National Entrepreneurship Context Index (NECI),17,2023,2023-01-01
DEU,Germany,NECI,National Entrepreneurship Context Index (NECI),17,2022,2022-01-01
DEU,Germany,NECI,National Entrepreneurship Context Index (NECI),14,2021,2021-01-01
DEU,Germany,NECI,National Entrepreneurship Context Index (NECI),16,2020,2020-01-01
DEU,Germany,NECI,National Entrepreneurship Context Index (NECI),16,2019,2019-01-01
NOR,Norway,NECI,National Entrepreneurship Context Index (NECI),18,2023,2023-01-01
NOR,Norway,NECI,National Entrepreneurship Context Index (NECI),14,2022,2022-01-01
NOR,Norway,NECI,National Entrepreneurship Context Index (NECI),7,2021,2021-01-01
NOR,Norway,NECI,National Entrepreneurship Context Index (NECI),6,2020,2020-01-01
NOR,Norway,NECI,National Entrepreneurship Context Index (NECI),9,2019,2019-01-01
