iso3,country,measure,var_axis,year,year_date,obs_value
DEU,Germany,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,102.658457
DEU,Germany,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,102.980721
DEU,Germany,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,102.670071
DEU,Germany,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,103.552482
DEU,Germany,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,104.046412
GRC,Greece,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,97.626586
GRC,Greece,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,99.321407
GRC,Greece,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,97.627534
GRC,Greece,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,99.806701
GRC,Greece,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,99.640461
GRC,Greece,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,101.736653
GRC,Greece,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,103.749584
ISR,Israel,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,112.634827
ISR,Israel,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,112.281277
ISR,Israel,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,110.072026
ISR,Israel,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.557711
ISR,Israel,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,101.947974
ISR,Israel,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,103.580137
ISR,Israel,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,105.663367
ITA,Italy,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.03688
ITA,Italy,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,100.83895
ITA,Italy,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,100.941382
ITA,Italy,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,101.291333
ITA,Italy,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,100.686695
ITA,Italy,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,101.717344
ITA,Italy,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,102.385759
JPN,Japan,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.048746
JPN,Japan,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,100.942987
JPN,Japan,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,101.323331
JPN,Japan,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,101.543901
JPN,Japan,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,99.52791
JPN,Japan,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,101.513136
JPN,Japan,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,102.188638
KOR,South Korea,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,106.481781
KOR,South Korea,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,101.504315
KOR,South Korea,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,104.120408
KOR,South Korea,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,107.880736
KOR,South Korea,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,108.866565
KOR,South Korea,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,111.088695
KOR,South Korea,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,110.86244
LUX,Luxembourg,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,101.954971
LUX,Luxembourg,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,100.238772
LUX,Luxembourg,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,98.525175
LUX,Luxembourg,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,98.358044
LUX,Luxembourg,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,100.402815
LUX,Luxembourg,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,100.983698
BEL,Belgium,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,99.255374
BEL,Belgium,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
BEL,Belgium,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,99.632839
BEL,Belgium,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,99.146227
NLD,Netherlands,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,100.819254
NLD,Netherlands,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,100.882867
NLD,Netherlands,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,100.621602
NLD,Netherlands,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,98.97427
NLD,Netherlands,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,102.727249
NLD,Netherlands,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,103.556375
NZL,New Zealand,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
NZL,New Zealand,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,99.397048
NZL,New Zealand,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,99.543931
NZL,New Zealand,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,101.090838
NZL,New Zealand,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,100.013852
NZL,New Zealand,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,100.396222
NOR,Norway,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.143962
NOR,Norway,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,101.570231
NOR,Norway,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,100.43392
NOR,Norway,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,99.461566
NOR,Norway,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,98.90479
NOR,Norway,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,100.226423
NOR,Norway,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,99.495799
PRT,Portugal,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.333498
PRT,Portugal,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,101.3871
PRT,Portugal,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,101.466268
PRT,Portugal,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,102.607221
PRT,Portugal,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,100.568012
PRT,Portugal,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,102.230129
PRT,Portugal,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,107.699535
ESP,Spain,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.671188
ESP,Spain,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,101.616816
ESP,Spain,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,101.594634
ESP,Spain,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,102.072659
ESP,Spain,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,98.637026
ESP,Spain,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,99.395325
ESP,Spain,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,101.762339
SWE,Sweden,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,99.238594
SWE,Sweden,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,99.443217
SWE,Sweden,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,99.272098
SWE,Sweden,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,100.585088
SWE,Sweden,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,99.684493
SWE,Sweden,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,102.677143
SWE,Sweden,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,102.304615
CHE,Switzerland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.371094
CHE,Switzerland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,101.135362
CHE,Switzerland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,102.977889
CHE,Switzerland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,103.131579
CHE,Switzerland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,103.083123
CHE,Switzerland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,105.615069
CHE,Switzerland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,106.472695
GBR,United Kingdom,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,99.30656
GBR,United Kingdom,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,100.831306
GBR,United Kingdom,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,100.698614
GBR,United Kingdom,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,100.913547
GBR,United Kingdom,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,101.636967
GBR,United Kingdom,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,99.42386
GBR,United Kingdom,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,100.448266
USA,United States,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
USA,United States,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,101.705054
USA,United States,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,102.547619
USA,United States,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,104.636376
USA,United States,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,106.38503
USA,United States,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2016,2016-01-01,100.063686
USA,United States,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,100.796594
AUS,Australia,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,98.411454
AUT,Austria,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
BEL,Belgium,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,99.022298
CAN,Canada,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
DNK,Denmark,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,102.560699
FIN,Finland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,103.821159
FRA,France,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
DEU,Germany,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
GRC,Greece,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
ISR,Israel,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
ITA,Italy,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
JPN,Japan,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
KOR,South Korea,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
LUX,Luxembourg,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
NLD,Netherlands,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
NZL,New Zealand,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,102.197263
NOR,Norway,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
PRT,Portugal,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
ESP,Spain,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
SWE,Sweden,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
CHE,Switzerland,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
GBR,United Kingdom,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2015,2015-01-01,100
USA,United States,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2022,2022-01-01,104.712563
FRA,France,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2017,2017-01-01,101.353672
FRA,France,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2018,2018-01-01,101.42946
FRA,France,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2019,2019-01-01,101.463869
FRA,France,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2020,2020-01-01,98.977544
FRA,France,Multifactor productivity (hours based),"Multifactor productivity (hours based), Index = 2015, Current prices",2021,2021-01-01,98.648565
