country,unit,geo,year,obs_value,var_axis,year_date,iso3
Netherlands,Percentage,NL,2022,19.35,Exports of high technology products as a share of total products exports,2022-01-01,NLD
Norway,Percentage,NO,2011,2.22,Exports of high technology products as a share of total products exports,2011-01-01,NOR
Norway,Percentage,NO,2012,2.12,Exports of high technology products as a share of total products exports,2012-01-01,NOR
Norway,Percentage,NO,2013,2.19,Exports of high technology products as a share of total products exports,2013-01-01,NOR
Norway,Percentage,NO,2014,2.64,Exports of high technology products as a share of total products exports,2014-01-01,NOR
Norway,Percentage,NO,2015,3.06,Exports of high technology products as a share of total products exports,2015-01-01,NOR
Norway,Percentage,NO,2016,4.03,Exports of high technology products as a share of total products exports,2016-01-01,NOR
Norway,Percentage,NO,2017,1.86,Exports of high technology products as a share of total products exports,2017-01-01,NOR
Norway,Percentage,NO,2018,1.64,Exports of high technology products as a share of total products exports,2018-01-01,NOR
Norway,Percentage,NO,2019,1.96,Exports of high technology products as a share of total products exports,2019-01-01,NOR
Norway,Percentage,NO,2020,2.54,Exports of high technology products as a share of total products exports,2020-01-01,NOR
Norway,Percentage,NO,2021,1.38,Exports of high technology products as a share of total products exports,2021-01-01,NOR
Norway,Percentage,NO,2022,0.94,Exports of high technology products as a share of total products exports,2022-01-01,NOR
Poland,Percentage,PL,2011,5.14,Exports of high technology products as a share of total products exports,2011-01-01,POL
Poland,Percentage,PL,2012,5.96,Exports of high technology products as a share of total products exports,2012-01-01,POL
Poland,Percentage,PL,2013,6.66,Exports of high technology products as a share of total products exports,2013-01-01,POL
Poland,Percentage,PL,2014,7.92,Exports of high technology products as a share of total products exports,2014-01-01,POL
Poland,Percentage,PL,2015,8.46,Exports of high technology products as a share of total products exports,2015-01-01,POL
Poland,Percentage,PL,2016,8.5,Exports of high technology products as a share of total products exports,2016-01-01,POL
Poland,Percentage,PL,2017,8.42,Exports of high technology products as a share of total products exports,2017-01-01,POL
Poland,Percentage,PL,2018,8.34,Exports of high technology products as a share of total products exports,2018-01-01,POL
Poland,Percentage,PL,2019,8.68,Exports of high technology products as a share of total products exports,2019-01-01,POL
Poland,Percentage,PL,2020,8.97,Exports of high technology products as a share of total products exports,2020-01-01,POL
Poland,Percentage,PL,2021,8.77,Exports of high technology products as a share of total products exports,2021-01-01,POL
Poland,Percentage,PL,2022,9.14,Exports of high technology products as a share of total products exports,2022-01-01,POL
Portugal,Percentage,PT,2011,3.07,Exports of high technology products as a share of total products exports,2011-01-01,PRT
Portugal,Percentage,PT,2012,3.3,Exports of high technology products as a share of total products exports,2012-01-01,PRT
Portugal,Percentage,PT,2013,3.4,Exports of high technology products as a share of total products exports,2013-01-01,PRT
Portugal,Percentage,PT,2014,3.62,Exports of high technology products as a share of total products exports,2014-01-01,PRT
Portugal,Percentage,PT,2015,3.81,Exports of high technology products as a share of total products exports,2015-01-01,PRT
Portugal,Percentage,PT,2016,4.44,Exports of high technology products as a share of total products exports,2016-01-01,PRT
Portugal,Percentage,PT,2017,4.54,Exports of high technology products as a share of total products exports,2017-01-01,PRT
Portugal,Percentage,PT,2018,3.98,Exports of high technology products as a share of total products exports,2018-01-01,PRT
Portugal,Percentage,PT,2019,5.38,Exports of high technology products as a share of total products exports,2019-01-01,PRT
Portugal,Percentage,PT,2020,5.5,Exports of high technology products as a share of total products exports,2020-01-01,PRT
Portugal,Percentage,PT,2021,4.74,Exports of high technology products as a share of total products exports,2021-01-01,PRT
Portugal,Percentage,PT,2022,5.18,Exports of high technology products as a share of total products exports,2022-01-01,PRT
Romania,Percentage,RO,2011,8.82,Exports of high technology products as a share of total products exports,2011-01-01,ROU
Romania,Percentage,RO,2012,6.3,Exports of high technology products as a share of total products exports,2012-01-01,ROU
Romania,Percentage,RO,2013,5.58,Exports of high technology products as a share of total products exports,2013-01-01,ROU
Romania,Percentage,RO,2014,6.43,Exports of high technology products as a share of total products exports,2014-01-01,ROU
Romania,Percentage,RO,2015,7.33,Exports of high technology products as a share of total products exports,2015-01-01,ROU
Romania,Percentage,RO,2016,8.28,Exports of high technology products as a share of total products exports,2016-01-01,ROU
Romania,Percentage,RO,2017,7.93,Exports of high technology products as a share of total products exports,2017-01-01,ROU
Romania,Percentage,RO,2018,8.39,Exports of high technology products as a share of total products exports,2018-01-01,ROU
Romania,Percentage,RO,2019,9.12,Exports of high technology products as a share of total products exports,2019-01-01,ROU
Romania,Percentage,RO,2020,9.91,Exports of high technology products as a share of total products exports,2020-01-01,ROU
Romania,Percentage,RO,2021,9.02,Exports of high technology products as a share of total products exports,2021-01-01,ROU
Romania,Percentage,RO,2022,8.89,Exports of high technology products as a share of total products exports,2022-01-01,ROU
Sweden,Percentage,SE,2011,13.82,Exports of high technology products as a share of total products exports,2011-01-01,SWE
Sweden,Percentage,SE,2012,12.85,Exports of high technology products as a share of total products exports,2012-01-01,SWE
Sweden,Percentage,SE,2013,13.05,Exports of high technology products as a share of total products exports,2013-01-01,SWE
Sweden,Percentage,SE,2014,12.91,Exports of high technology products as a share of total products exports,2014-01-01,SWE
Sweden,Percentage,SE,2015,13.53,Exports of high technology products as a share of total products exports,2015-01-01,SWE
Sweden,Percentage,SE,2016,13.38,Exports of high technology products as a share of total products exports,2016-01-01,SWE
Sweden,Percentage,SE,2017,11.88,Exports of high technology products as a share of total products exports,2017-01-01,SWE
Sweden,Percentage,SE,2018,11.28,Exports of high technology products as a share of total products exports,2018-01-01,SWE
Sweden,Percentage,SE,2019,11.91,Exports of high technology products as a share of total products exports,2019-01-01,SWE
Sweden,Percentage,SE,2020,12.85,Exports of high technology products as a share of total products exports,2020-01-01,SWE
Sweden,Percentage,SE,2021,11.43,Exports of high technology products as a share of total products exports,2021-01-01,SWE
Sweden,Percentage,SE,2022,11.96,Exports of high technology products as a share of total products exports,2022-01-01,SWE
Slovenia,Percentage,SI,2011,5.31,Exports of high technology products as a share of total products exports,2011-01-01,SVN
Slovenia,Percentage,SI,2012,5.21,Exports of high technology products as a share of total products exports,2012-01-01,SVN
Slovenia,Percentage,SI,2013,5.48,Exports of high technology products as a share of total products exports,2013-01-01,SVN
Slovenia,Percentage,SI,2014,5.35,Exports of high technology products as a share of total products exports,2014-01-01,SVN
Slovenia,Percentage,SI,2015,5.87,Exports of high technology products as a share of total products exports,2015-01-01,SVN
Slovenia,Percentage,SI,2016,5.71,Exports of high technology products as a share of total products exports,2016-01-01,SVN
Slovenia,Percentage,SI,2017,5.57,Exports of high technology products as a share of total products exports,2017-01-01,SVN
Slovenia,Percentage,SI,2018,5.79,Exports of high technology products as a share of total products exports,2018-01-01,SVN
Slovenia,Percentage,SI,2019,6.5,Exports of high technology products as a share of total products exports,2019-01-01,SVN
Slovenia,Percentage,SI,2020,7.6,Exports of high technology products as a share of total products exports,2020-01-01,SVN
Slovenia,Percentage,SI,2021,7.08,Exports of high technology products as a share of total products exports,2021-01-01,SVN
Slovenia,Percentage,SI,2022,6.7,Exports of high technology products as a share of total products exports,2022-01-01,SVN
Slovakia,Percentage,SK,2011,6.62,Exports of high technology products as a share of total products exports,2011-01-01,SVK
Slovakia,Percentage,SK,2012,8.22,Exports of high technology products as a share of total products exports,2012-01-01,SVK
Slovakia,Percentage,SK,2013,9.65,Exports of high technology products as a share of total products exports,2013-01-01,SVK
Slovakia,Percentage,SK,2014,9.91,Exports of high technology products as a share of total products exports,2014-01-01,SVK
Slovakia,Percentage,SK,2015,10.02,Exports of high technology products as a share of total products exports,2015-01-01,SVK
Slovakia,Percentage,SK,2016,9.75,Exports of high technology products as a share of total products exports,2016-01-01,SVK
Slovakia,Percentage,SK,2017,10.68,Exports of high technology products as a share of total products exports,2017-01-01,SVK
Slovakia,Percentage,SK,2018,9.72,Exports of high technology products as a share of total products exports,2018-01-01,SVK
Slovakia,Percentage,SK,2019,9.08,Exports of high technology products as a share of total products exports,2019-01-01,SVK
Slovakia,Percentage,SK,2020,9.18,Exports of high technology products as a share of total products exports,2020-01-01,SVK
Slovakia,Percentage,SK,2021,8.17,Exports of high technology products as a share of total products exports,2021-01-01,SVK
Slovakia,Percentage,SK,2022,7.44,Exports of high technology products as a share of total products exports,2022-01-01,SVK
