country,unit,geo,year,obs_value,var_axis,year_date,iso3
Cyprus,Percentage,CY,2020,4.99,Exports of high technology products as a share of total products exports,2020-01-01,CYP
Cyprus,Percentage,CY,2021,5.33,Exports of high technology products as a share of total products exports,2021-01-01,CYP
Cyprus,Percentage,CY,2022,5.02,Exports of high technology products as a share of total products exports,2022-01-01,CYP
Czechia,Percentage,CZ,2011,16.43,Exports of high technology products as a share of total products exports,2011-01-01,CZE
Czechia,Percentage,CZ,2012,16.09,Exports of high technology products as a share of total products exports,2012-01-01,CZE
Czechia,Percentage,CZ,2013,15.08,Exports of high technology products as a share of total products exports,2013-01-01,CZE
Czechia,Percentage,CZ,2014,15.3,Exports of high technology products as a share of total products exports,2014-01-01,CZE
Czechia,Percentage,CZ,2015,15.55,Exports of high technology products as a share of total products exports,2015-01-01,CZE
Czechia,Percentage,CZ,2016,15.05,Exports of high technology products as a share of total products exports,2016-01-01,CZE
Czechia,Percentage,CZ,2017,16.06,Exports of high technology products as a share of total products exports,2017-01-01,CZE
Czechia,Percentage,CZ,2018,17.85,Exports of high technology products as a share of total products exports,2018-01-01,CZE
Czechia,Percentage,CZ,2019,18.95,Exports of high technology products as a share of total products exports,2019-01-01,CZE
Czechia,Percentage,CZ,2020,20.64,Exports of high technology products as a share of total products exports,2020-01-01,CZE
Czechia,Percentage,CZ,2021,18.38,Exports of high technology products as a share of total products exports,2021-01-01,CZE
Czechia,Percentage,CZ,2022,19.19,Exports of high technology products as a share of total products exports,2022-01-01,CZE
Germany,Percentage,DE,2011,13.52,Exports of high technology products as a share of total products exports,2011-01-01,DEU
Germany,Percentage,DE,2012,14.23,Exports of high technology products as a share of total products exports,2012-01-01,DEU
Germany,Percentage,DE,2013,14.27,Exports of high technology products as a share of total products exports,2013-01-01,DEU
Germany,Percentage,DE,2014,14.27,Exports of high technology products as a share of total products exports,2014-01-01,DEU
Germany,Percentage,DE,2015,14.88,Exports of high technology products as a share of total products exports,2015-01-01,DEU
Germany,Percentage,DE,2016,15.21,Exports of high technology products as a share of total products exports,2016-01-01,DEU
Germany,Percentage,DE,2017,15.1,Exports of high technology products as a share of total products exports,2017-01-01,DEU
Germany,Percentage,DE,2018,15.24,Exports of high technology products as a share of total products exports,2018-01-01,DEU
Germany,Percentage,DE,2019,15.73,Exports of high technology products as a share of total products exports,2019-01-01,DEU
Germany,Percentage,DE,2020,15.36,Exports of high technology products as a share of total products exports,2020-01-01,DEU
Germany,Percentage,DE,2021,15.08,Exports of high technology products as a share of total products exports,2021-01-01,DEU
Germany,Percentage,DE,2022,14.52,Exports of high technology products as a share of total products exports,2022-01-01,DEU
Denmark,Percentage,DK,2011,9.26,Exports of high technology products as a share of total products exports,2011-01-01,DNK
Denmark,Percentage,DK,2012,9.35,Exports of high technology products as a share of total products exports,2012-01-01,DNK
Denmark,Percentage,DK,2013,9.3,Exports of high technology products as a share of total products exports,2013-01-01,DNK
Denmark,Percentage,DK,2014,9.94,Exports of high technology products as a share of total products exports,2014-01-01,DNK
Denmark,Percentage,DK,2015,10.82,Exports of high technology products as a share of total products exports,2015-01-01,DNK
Denmark,Percentage,DK,2016,10.68,Exports of high technology products as a share of total products exports,2016-01-01,DNK
Denmark,Percentage,DK,2017,9.68,Exports of high technology products as a share of total products exports,2017-01-01,DNK
Denmark,Percentage,DK,2018,9.47,Exports of high technology products as a share of total products exports,2018-01-01,DNK
Denmark,Percentage,DK,2019,9.82,Exports of high technology products as a share of total products exports,2019-01-01,DNK
Denmark,Percentage,DK,2020,11.45,Exports of high technology products as a share of total products exports,2020-01-01,DNK
Denmark,Percentage,DK,2021,12.04,Exports of high technology products as a share of total products exports,2021-01-01,DNK
Denmark,Percentage,DK,2022,11.44,Exports of high technology products as a share of total products exports,2022-01-01,DNK
Estonia,Percentage,EE,2011,14.83,Exports of high technology products as a share of total products exports,2011-01-01,EST
Estonia,Percentage,EE,2012,14.13,Exports of high technology products as a share of total products exports,2012-01-01,EST
Estonia,Percentage,EE,2013,14.94,Exports of high technology products as a share of total products exports,2013-01-01,EST
Estonia,Percentage,EE,2014,16.28,Exports of high technology products as a share of total products exports,2014-01-01,EST
Estonia,Percentage,EE,2015,15.52,Exports of high technology products as a share of total products exports,2015-01-01,EST
Estonia,Percentage,EE,2016,15.6,Exports of high technology products as a share of total products exports,2016-01-01,EST
Estonia,Percentage,EE,2017,12.01,Exports of high technology products as a share of total products exports,2017-01-01,EST
Estonia,Percentage,EE,2018,11.55,Exports of high technology products as a share of total products exports,2018-01-01,EST
Estonia,Percentage,EE,2019,11.08,Exports of high technology products as a share of total products exports,2019-01-01,EST
Estonia,Percentage,EE,2020,13.54,Exports of high technology products as a share of total products exports,2020-01-01,EST
Estonia,Percentage,EE,2021,12.81,Exports of high technology products as a share of total products exports,2021-01-01,EST
Estonia,Percentage,EE,2022,10.79,Exports of high technology products as a share of total products exports,2022-01-01,EST
Greece,Percentage,EL,2011,4.04,Exports of high technology products as a share of total products exports,2011-01-01,NA
Greece,Percentage,EL,2012,2.86,Exports of high technology products as a share of total products exports,2012-01-01,NA
Greece,Percentage,EL,2013,2.47,Exports of high technology products as a share of total products exports,2013-01-01,NA
Greece,Percentage,EL,2014,3.69,Exports of high technology products as a share of total products exports,2014-01-01,NA
Greece,Percentage,EL,2015,4.39,Exports of high technology products as a share of total products exports,2015-01-01,NA
Greece,Percentage,EL,2016,4.98,Exports of high technology products as a share of total products exports,2016-01-01,NA
Greece,Percentage,EL,2017,4.3,Exports of high technology products as a share of total products exports,2017-01-01,NA
Greece,Percentage,EL,2018,4.5,Exports of high technology products as a share of total products exports,2018-01-01,NA
Greece,Percentage,EL,2019,4.78,Exports of high technology products as a share of total products exports,2019-01-01,NA
Greece,Percentage,EL,2020,5.84,Exports of high technology products as a share of total products exports,2020-01-01,NA
Greece,Percentage,EL,2021,4.87,Exports of high technology products as a share of total products exports,2021-01-01,NA
Greece,Percentage,EL,2022,4.97,Exports of high technology products as a share of total products exports,2022-01-01,NA
Spain,Percentage,ES,2011,4.81,Exports of high technology products as a share of total products exports,2011-01-01,ESP
Spain,Percentage,ES,2012,4.98,Exports of high technology products as a share of total products exports,2012-01-01,ESP
Spain,Percentage,ES,2013,5.44,Exports of high technology products as a share of total products exports,2013-01-01,ESP
Spain,Percentage,ES,2014,5.16,Exports of high technology products as a share of total products exports,2014-01-01,ESP
Spain,Percentage,ES,2015,5.46,Exports of high technology products as a share of total products exports,2015-01-01,ESP
Spain,Percentage,ES,2016,5.85,Exports of high technology products as a share of total products exports,2016-01-01,ESP
Spain,Percentage,ES,2017,5.74,Exports of high technology products as a share of total products exports,2017-01-01,ESP
Spain,Percentage,ES,2018,5.5,Exports of high technology products as a share of total products exports,2018-01-01,ESP
Spain,Percentage,ES,2019,5.84,Exports of high technology products as a share of total products exports,2019-01-01,ESP
